time,HeartRate,SkinResponse
0,61,0.91
1,61,0.89
2,60,0.89
3,60,0.88
4,59,0.87
5,58,0.87
6,57,0.86
7,56,0.86
8,55,0.85
9,54,0.84
10,53,0.83
11,53,0.82
12,53,0.81
13,53,0.8
14,52,0.79
15,52,0.79
16,52,0.78
17,52,0.81
18,53,0.85
19,53,0.88
20,54,0.89
21,54,0.9
22,54,0.9
23,54,0.91
24,55,0.92
25,54,0.91
26,54,0.91
27,53,0.9
28,53,0.9
29,52,0.89
30,52,0.88
31,53,0.88
32,53,0.87
33,54,0.87
34,55,0.86
35,55,0.85
36,56,0.85
37,57,0.85
38,59,0.85
39,59,0.84
40,60,0.84
41,59,0.84
42,59,0.83
43,59,0.82
44,59,0.82
45,60,0.81
46,61,0.81
47,61,0.81
48,61,0.81
49,60,0.82
50,60,0.82
51,59,0.82
52,58,0.82
53,58,0.81
54,57,0.82
55,56,0.82
56,55,0.83
57,54,0.84
58,55,0.84
59,56,0.85
60,58,0.85
61,60,0.84
62,61,0.84
63,61,0.84
64,62,0.85
65,62,0.85
66,62,0.85
67,61,0.84
68,61,0.84
69,61,0.84
70,62,0.84
71,62,0.84
72,61,0.84
73,60,0.84
74,58,0.83
75,57,0.83
76,56,0.83
77,56,0.83
78,58,0.83
79,59,0.82
80,59,0.82
81,59,0.82
82,58,0.82
83,57,0.82
84,57,0.81
85,57,0.81
86,57,0.81
87,57,0.81
88,57,0.81
89,56,0.8
90,56,0.8
91,56,0.8
92,56,0.8
93,57,0.79
94,56,0.79
95,56,0.79
96,58,0.79
97,60,0.78
98,62,0.78
99,63,0.78
100,64,0.78
101,64,0.77
102,64,0.77
103,64,0.78
104,63,0.79
105,63,0.8
106,61,0.8
107,60,0.81
108,59,0.82
109,58,0.83
110,57,0.83
111,58,0.82
112,58,0.82
113,59,0.82
114,59,0.82
115,59,0.82
116,58,0.82
117,58,0.82
118,58,0.82
119,58,0.83
120,59,0.82
121,59,0.82
122,58,0.82
123,58,0.82
124,57,0.82
125,58,0.84
126,59,0.85
127,61,0.85
128,62,0.85
129,63,0.86
130,62,0.86
131,61,0.86
132,60,0.86
133,58,0.87
134,56,0.87
135,54,0.87
136,54,0.87
137,54,0.87
138,55,0.87
139,56,0.88
140,56,0.88
141,56,0.9
142,55,0.91
143,56,0.91
144,57,0.91
145,58,0.92
146,59,0.93
147,60,0.94
148,61,0.97
149,62,1.0
150,63,1.02
151,65,1.04
152,67,1.07
153,69,1.1
154,71,1.11
155,73,1.11
156,74,1.13
157,74,1.13
158,74,1.14
159,73,1.15
160,73,1.16
161,73,1.19
162,74,1.21
163,75,1.22
164,76,1.25
165,77,1.29
166,76,1.3
167,76,1.31
168,75,1.32
169,74,1.34
170,72,1.35
171,71,1.34
172,69,1.36
173,67,1.41
174,64,1.4
175,64,1.4
176,64,1.4
177,64,1.39
178,64,1.39
179,63,1.38
180,63,1.37
181,63,1.36
182,63,1.34
183,63,1.31
184,64,1.28
185,64,1.24
186,64,1.22
187,64,1.22
188,65,1.24
189,65,1.25
190,66,1.24
191,66,1.22
192,65,1.19
193,65,1.2
194,65,1.19
195,65,1.19
196,66,1.18
197,67,1.17
198,68,1.15
199,68,1.14
200,68,1.13
201,67,1.15
202,66,1.18
203,66,1.21
204,65,1.22
205,65,1.24
206,64,1.27
207,64,1.31
208,65,1.34
209,66,1.37
210,67,1.39
211,68,1.39
212,68,1.39
213,68,1.42
214,67,1.46
215,67,1.47
216,66,1.46
217,66,1.46
218,66,1.46
219,66,1.46
220,66,1.46
221,66,1.45
222,66,1.46
223,65,1.46
224,65,1.47
225,65,1.48
226,65,1.53
227,65,1.55
228,65,1.58
229,64,1.64
230,64,1.66
231,63,1.67
232,64,1.66
233,65,1.66
234,65,1.67
235,66,1.7
236,66,1.72
237,67,1.72
238,67,1.7
239,68,1.67
240,68,1.64
241,69,1.61
242,69,1.6
243,69,1.61
244,69,1.68
245,69,1.71
246,68,1.71
247,68,1.68
248,66,1.66
249,65,1.64
