time,HeartRate,SkinResponse
0,63,1.6
1,62,1.59
2,62,1.58
3,61,1.58
4,61,1.61
5,61,1.61
6,61,1.61
7,61,1.62
8,62,1.63
9,62,1.65
10,63,1.71
11,63,1.73
12,64,1.74
13,64,1.72
14,64,1.71
15,64,1.73
16,65,1.77
17,65,1.79
18,66,1.83
19,65,1.84
20,65,1.86
21,64,1.88
22,63,1.87
23,63,1.85
24,62,1.83
25,62,1.8
26,62,1.78
27,61,1.77
28,61,1.78
29,60,1.8
30,60,1.8
31,60,1.81
32,60,1.81
33,61,1.81
34,62,1.8
35,63,1.78
36,65,1.77
37,66,1.78
38,67,1.79
39,67,1.81
40,67,1.81
41,66,1.83
42,66,1.85
43,66,1.86
44,66,1.85
45,66,1.86
46,67,1.85
47,68,1.84
48,68,1.82
49,69,1.81
50,68,1.81
51,68,1.8
52,66,1.79
53,65,1.77
54,64,1.77
55,64,1.8
56,64,1.85
57,64,1.88
58,64,1.89
59,64,1.92
60,65,1.92
61,66,1.91
62,67,1.9
63,66,1.89
64,66,1.88
65,65,1.87
66,66,1.85
67,67,1.87
68,69,1.94
69,70,1.96
70,71,1.96
71,71,1.95
72,70,1.97
73,69,2.01
74,67,2.01
75,66,2.01
76,64,2.03
77,63,2.04
78,62,2.04
79,61,2.01
80,62,2.03
81,63,2.11
82,64,2.13
83,65,2.12
84,66,2.11
85,66,2.09
86,66,2.1
87,66,2.1
88,66,2.08
89,66,2.06
90,66,2.04
91,66,2.04
92,67,2.06
93,67,2.06
94,67,2.06
95,67,2.05
96,65,2.04
97,63,2.03
98,63,2.01
99,63,2.0
100,64,1.99
101,64,1.99
102,64,2.0
103,63,2.01
104,63,2.02
105,62,2.02
106,61,2.05
107,61,2.05
108,62,2.04
109,62,2.03
110,63,2.01
111,63,2.0
112,64,1.99
113,64,1.99
114,65,1.99
115,65,1.99
116,66,1.98
117,65,1.98
118,65,1.99
119,64,1.98
120,64,2.0
121,64,2.06
122,64,2.09
123,64,2.09
124,64,2.08
125,64,2.09
126,63,2.12
127,63,2.14
128,62,2.13
129,62,2.11
130,61,2.15
131,60,2.18
132,60,2.17
133,61,2.16
134,62,2.17
135,63,2.18
136,65,2.18
137,67,2.16
138,68,2.13
139,68,2.12
140,68,2.11
141,66,2.09
142,65,2.08
143,65,2.07
144,65,2.06
145,66,2.06
146,66,2.06
147,67,2.05
148,68,2.05
149,68,2.04
150,68,2.03
151,67,2.02
152,66,2.01
153,66,2.05
154,66,2.1
155,67,2.12
156,68,2.11
157,69,2.1
158,68,2.09
