time,HeartRate,SkinResponse
0,78,3.33
1,77,3.36
2,76,3.34
3,76,3.27
4,77,3.18
5,79,3.24
6,81,3.38
7,82,3.39
8,84,3.37
9,84,3.36
10,85,3.33
11,84,3.33
12,84,3.31
13,84,3.38
14,84,3.54
15,85,3.65
16,85,3.65
17,85,3.67
18,84,3.64
19,84,3.58
20,82,3.52
21,81,3.45
22,78,3.38
23,76,3.33
24,75,3.33
25,76,3.32
26,77,3.25
27,79,3.26
28,81,3.41
29,82,3.57
30,83,3.67
31,84,3.65
32,84,3.63
33,85,3.6
34,85,3.53
35,85,3.45
36,84,3.41
37,84,3.42
38,84,3.42
39,85,3.45
40,85,3.47
41,85,3.49
42,85,3.5
43,86,3.48
44,87,3.45
45,88,3.4
46,89,3.43
47,89,3.47
48,89,3.46
49,89,3.44
50,87,3.46
51,86,3.44
52,83,3.42
53,81,3.4
54,80,3.36
55,80,3.37
56,80,3.38
57,80,3.35
58,80,3.34
59,80,3.33
60,80,3.33
61,80,3.35
62,80,3.32
63,80,3.31
64,80,3.49
65,80,3.57
66,80,3.62
67,81,3.61
68,81,3.59
69,81,3.55
70,82,3.48
71,83,3.44
72,83,3.41
73,84,3.37
74,83,3.34
75,82,3.32
76,81,3.3
77,80,3.32
78,79,3.49
79,79,3.58
80,80,3.57
81,81,3.52
82,82,3.47
83,82,3.42
84,82,3.39
85,82,3.35
86,81,3.32
87,80,3.29
88,78,3.26
89,77,3.25
90,76,3.28
91,76,3.29
92,77,3.29
93,78,3.27
94,78,3.28
95,78,3.29
96,77,3.27
97,77,3.25
98,78,3.28
99,79,3.37
100,81,3.4
101,82,3.38
102,83,3.36
103,84,3.34
104,84,3.36
105,84,3.35
106,83,3.33
107,83,3.34
108,82,3.46
109,82,3.53
110,84,3.55
111,86,3.64
112,88,3.71
113,90,3.67
114,91,3.6
115,92,3.58
116,92,3.7
117,93,3.74
118,93,3.72
119,93,3.69
120,93,3.65
121,92,3.61
122,91,3.56
123,89,3.52
124,87,3.46
125,85,3.42
126,83,3.4
127,82,3.39
128,81,3.37
129,81,3.36
130,82,3.36
131,83,3.37
132,84,3.38
133,82,3.42
134,81,3.5
135,80,3.53
136,80,3.54
137,81,3.55
138,81,3.53
139,81,3.5
140,80,3.47
141,79,3.44
142,78,3.41
143,78,3.4
144,79,3.41
145,81,3.46
146,83,3.57
147,84,3.64
148,86,3.66
149,86,3.64
150,86,3.6
151,86,3.57
152,86,3.54
153,86,3.52
154,85,3.5
155,85,3.47
156,86,3.45
157,86,3.42
158,85,3.39
159,84,3.37
160,84,3.35
161,84,3.34
162,84,3.36
163,84,3.47
164,85,3.54
165,85,3.55
166,86,3.54
167,86,3.53
168,86,3.53
169,86,3.5
170,85,3.48
171,85,3.46
172,85,3.44
173,85,3.43
174,86,3.46
175,88,3.52
176,90,3.53
177,91,3.51
178,92,3.5
179,93,3.49
180,92,3.52
181,92,3.5
182,90,3.48
183,89,3.46
184,88,3.43
185,86,3.42
186,85,3.41
187,85,3.4
188,86,3.39
189,87,3.39
190,87,3.41
191,86,3.41
192,85,3.4
193,83,3.39
194,82,3.38
195,81,3.36
196,80,3.34
197,80,3.38
198,80,3.43
199,80,3.45
200,81,3.45
201,82,3.49
202,84,3.59
203,85,3.63
204,86,3.62
205,88,3.59
206,88,3.54
207,89,3.51
208,89,3.54
209,89,3.61
210,89,3.59
211,89,3.57
212,88,3.6
213,87,3.71
214,86,3.76
215,85,3.74
216,85,3.7
217,86,3.65
218,86,3.6
219,86,3.55
220,85,3.52
221,83,3.5
222,82,3.51
223,82,3.51
224,83,3.51
225,85,3.49
226,86,3.47
227,86,3.45
228,86,3.43
229,85,3.43
230,84,3.43
231,84,3.44
232,84,3.44
233,85,3.46
234,85,3.49
235,85,3.57
236,85,3.71
237,84,3.76
238,84,3.74
239,84,3.7
240,86,3.65
241,87,3.61
242,88,3.57
243,88,3.54
244,87,3.52
245,87,3.5
246,87,3.5
247,87,3.54
248,88,3.61
249,88,3.7
250,89,3.73
251,89,3.75
252,90,3.73
253,90,3.69
254,90,3.66
255,89,3.67
256,89,3.73
257,89,3.79
258,89,3.77
259,89,3.74
260,88,3.75
261,88,3.78
262,88,3.78
263,89,3.76
264,89,3.73
265,90,3.69
266,90,3.66
267,89,3.63
268,89,3.65
269,90,3.7
270,91,3.72
271,92,3.71
272,94,3.75
273,96,3.85
274,97,3.95
275,97,3.96
276,96,3.96
277,95,3.99
278,96,3.98
279,97,3.99
280,97,4.0
281,97,4.12
282,97,4.22
283,96,4.22
284,96,4.23
285,96,4.41
286,97,4.51
287,97,4.57
288,96,4.61
289,96,4.59
290,95,4.64
291,95,4.73
292,95,4.77
293,95,4.88
294,95,4.91
295,95,4.88
296,96,4.87
297,96,4.82
298,96,4.74
299,96,4.67
300,96,4.66
301,95,4.62
302,95,4.6
303,94,4.62
304,93,4.66
305,93,4.67
306,92,4.65
307,93,4.61
308,95,4.56
309,97,4.52
310,99,4.51
311,100,4.51
312,101,4.51
313,101,4.52
314,101,4.51
315,100,4.51
316,99,4.5
317,98,4.52
318,97,4.68
319,96,4.92
320,95,4.96
321,94,5.0
322,94,4.94
323,93,4.82
324,92,4.75
325,92,4.68
326,91,4.6
327,90,4.54
328,90,4.54
329,89,4.59
330,89,4.6
331,90,4.57
332,91,4.55
333,94,4.67
334,97,4.78
335,99,4.81
336,101,4.86
337,103,4.83
338,104,4.84
339,104,5.0
340,105,5.04
341,105,5.03
342,105,4.96
343,105,4.95
344,106,5.11
345,106,5.17
346,107,5.2
347,106,5.31
348,105,5.46
349,104,5.53
350,103,5.51
351,102,5.52
352,101,5.48
353,100,5.5
354,99,5.73
355,98,5.77
356,97,5.72
357,96,5.71
358,95,5.7
359,94,5.67
360,94,5.7
361,93,5.65
362,91,5.51
363,90,5.37
364,88,5.32
365,86,5.4
366,84,5.47
367,83,5.47
368,81,5.5
369,80,5.45
370,78,5.38
371,78,5.31
372,78,5.26
373,77,5.25
374,77,5.23
375,76,5.21
376,76,5.21
377,76,5.22
378,77,5.2
379,78,5.18
380,79,5.15
381,79,5.12
382,79,5.09
383,79,5.07
384,79,5.05
385,79,5.06
386,79,5.06
387,79,5.06
388,80,5.08
389,81,5.08
390,83,5.07
391,85,5.06
392,87,5.06
393,89,4.98
394,91,4.95
395,91,4.97
396,92,4.99
397,92,4.99
398,91,4.98
399,91,4.97
400,90,5.03
401,90,5.08
402,91,5.11
403,92,5.12
404,93,5.06
405,95,5.1
406,95,5.26
407,96,5.31
408,96,5.36
409,96,5.46
410,97,5.53
411,96,5.55
412,96,5.51
413,96,5.51
414,96,5.4
415,96,5.31
416,97,5.29
417,98,5.36
418,99,5.57
419,100,5.65
420,101,5.67
421,101,5.7
422,101,5.74
423,101,5.78
424,99,5.82
425,98,5.79
426,97,5.84
427,96,5.9
428,95,5.87
429,93,5.75
430,92,5.61
431,91,5.51
432,89,5.47
433,88,5.45
434,86,5.5
435,84,5.57
436,84,5.54
437,84,5.52
438,84,5.52
439,85,5.53
440,85,5.48
441,86,5.54
442,87,5.56
443,88,5.52
444,90,5.49
445,92,5.51
446,94,5.49
447,97,5.42
448,98,5.4
449,99,5.45
450,99,5.5
451,99,5.57
452,100,5.56
453,102,5.51
454,104,5.52
455,105,5.63
456,106,5.63
457,107,5.57
458,107,5.53
459,106,5.58
460,106,5.57
461,106,5.52
462,105,5.48
463,105,5.48
464,104,5.51
465,103,5.52
466,102,5.52
467,102,5.47
468,103,5.41
469,104,5.33
470,104,5.27
471,105,5.19
472,104,5.18
473,103,5.16
474,102,5.22
475,101,5.29
476,100,5.27
477,100,5.27
478,99,5.27
479,98,5.25
480,97,5.21
481,95,5.19
482,94,5.18
483,92,5.16
484,91,5.14
485,91,5.12
486,92,5.1
487,94,5.08
488,96,5.07
489,100,5.06
490,102,5.04
491,103,5.03
492,104,5.01
493,104,5.0
494,103,4.98
495,102,4.97
496,100,4.97
497,99,4.96
498,97,4.97
499,96,4.98
500,94,4.98
501,93,4.98
502,92,4.97
503,91,4.96
504,91,4.97
505,91,4.98
506,91,4.98
507,91,4.97
508,91,4.95
509,92,4.94
510,91,4.93
511,91,4.92
512,90,4.91
513,89,4.89
514,89,4.9
515,89,4.88
516,89,4.89
517,90,4.91
518,89,4.93
519,89,4.94
520,89,4.99
521,89,5.01
522,89,5.04
523,90,5.07
524,92,5.07
525,93,5.06
526,94,5.03
527,94,5.02
528,92,4.98
529,91,4.96
530,90,4.94
531,91,4.92
532,91,4.9
533,91,4.88
534,91,4.87
535,89,4.86
536,88,4.87
537,87,4.87
538,87,4.84
539,88,4.84
540,90,4.84
541,91,4.83
542,92,4.83
543,92,4.87
544,91,4.88
545,90,4.89
546,90,4.87
547,90,4.86
548,91,4.85
549,92,4.86
550,92,4.85
551,92,4.85
552,90,4.84
553,89,4.83
554,88,4.84
555,87,4.83
556,86,4.84
557,86,4.84
558,87,4.84
559,87,4.83
560,88,4.82
561,88,4.8
562,87,4.78
563,87,4.78
564,86,4.77
565,86,4.78
566,86,4.78
567,87,4.78
568,88,4.78
569,88,4.81
570,88,4.83
571,87,4.85
572,86,4.85
573,84,4.84
574,83,4.84
575,81,4.83
576,80,4.82
577,80,4.8
578,82,4.79
579,85,4.77
580,88,4.76
581,90,4.75
582,92,4.75
583,93,4.76
584,93,4.76
585,93,4.75
586,93,4.75
587,93,4.74
588,92,4.74
589,92,4.73
590,93,4.72
591,94,4.71
592,95,4.71
593,95,4.7
594,95,4.7
595,94,4.69
596,93,4.68
597,92,4.68
598,92,4.68
599,92,4.68
600,92,4.68
601,93,4.69
602,92,4.7
603,92,4.71
604,91,4.71
605,91,4.62
606,90,4.66
607,88,4.68
608,87,4.72
609,86,4.76
610,86,4.78
611,86,4.81
612,85,4.85
613,85,4.87
614,86,4.92
