time,HeartRate,SkinResponse
0,76,4.1
1,78,4.1
2,79,4.27
3,81,4.21
4,82,4.17
5,86,4.29
6,88,4.28
7,88,4.22
8,88,4.24
9,88,4.27
10,86,4.31
11,85,4.29
12,83,4.33
13,81,4.37
14,79,4.39
15,78,4.43
16,78,4.46
17,78,4.44
18,78,4.41
19,79,4.45
20,80,4.48
21,81,4.46
22,82,4.48
23,83,4.62
24,84,4.64
25,86,4.62
26,86,4.67
27,87,4.72
28,87,4.75
29,86,4.8
30,86,4.79
31,85,4.78
32,84,4.79
33,84,4.8
34,84,4.83
35,83,4.82
36,83,4.77
37,83,4.77
38,84,4.77
39,86,4.75
40,89,4.78
41,92,4.77
42,95,4.75
43,98,4.76
44,101,4.75
45,106,4.76
46,108,4.74
47,110,4.73
48,110,4.74
49,111,4.72
50,111,4.71
51,111,4.74
52,111,4.75
53,110,4.74
54,110,4.71
55,109,4.7
56,108,4.73
57,107,4.77
58,106,4.74
59,107,4.73
60,110,4.74
61,111,4.75
62,113,4.74
63,115,4.79
64,116,4.8
65,116,4.77
66,116,4.77
67,115,4.78
68,114,4.78
69,113,4.8
70,113,4.78
71,114,4.78
72,115,4.8
73,115,4.8
74,116,4.78
75,116,4.77
76,117,4.76
77,117,4.79
78,116,4.79
79,115,4.79
80,115,4.78
81,115,4.8
82,115,4.78
83,115,4.76
84,117,4.8
85,117,4.9
86,117,4.88
87,117,4.84
88,116,4.88
89,116,4.91
90,116,4.87
91,115,4.84
92,114,4.82
93,112,4.81
94,110,4.8
95,109,4.81
96,109,4.86
97,110,4.85
98,111,4.81
99,112,4.79
100,113,4.81
101,115,4.9
102,116,5.05
103,117,5.04
104,118,4.95
105,117,4.92
106,116,4.92
107,115,4.92
108,113,5.0
109,112,5.09
110,113,5.03
111,114,5.0
112,115,4.99
113,114,4.97
114,114,4.95
115,112,4.98
116,111,5.01
117,110,4.98
118,110,4.96
119,110,5.0
120,110,5.06
121,111,5.04
122,112,5.0
123,113,4.99
124,113,4.97
125,111,4.97
126,110,4.96
127,109,4.95
128,109,4.93
129,109,4.91
130,109,4.89
131,109,4.9
132,108,5.08
133,108,5.13
134,107,5.23
135,105,5.27
136,104,5.33
137,104,5.46
138,105,5.42
139,107,5.41
140,108,5.44
141,110,5.47
142,111,5.47
143,112,5.47
144,112,5.62
145,113,5.75
146,112,5.79
147,112,5.66
148,111,5.64
149,109,5.83
150,108,5.93
151,107,5.95
152,106,5.95
153,105,6.06
154,105,6.24
155,105,6.23
156,106,6.16
157,106,6.18
158,107,6.32
159,106,6.3
160,106,6.34
161,105,6.46
162,105,6.55
163,104,6.41
164,103,6.58
165,102,6.67
166,101,6.57
167,100,6.54
168,99,6.75
169,98,6.77
170,97,6.75
171,97,6.81
172,98,6.72
173,99,6.66
174,100,6.86
175,102,6.73
176,104,6.62
177,106,6.58
178,108,6.55
179,110,6.54
180,112,6.52
181,113,6.47
182,115,6.61
183,116,6.57
184,116,6.41
185,117,6.37
186,117,6.27
187,117,6.21
188,117,6.19
189,117,6.16
190,117,6.14
191,117,6.11
192,117,6.07
193,116,6.06
194,116,6.04
195,115,6.04
196,114,6.07
197,113,6.04
198,113,6.01
199,113,5.98
200,114,5.95
201,114,5.94
202,112,5.99
203,110,5.95
204,109,5.89
205,108,5.88
206,108,5.9
207,107,5.92
208,107,5.89
209,107,5.89
210,106,5.88
211,106,5.85
212,106,5.82
213,105,5.8
214,104,5.79
215,104,5.8
216,104,5.8
217,104,5.79
218,105,5.75
219,106,5.73
220,107,5.7
221,107,5.68
222,106,5.66
223,106,5.65
224,106,5.63
225,106,5.61
226,106,5.6
227,107,5.6
228,107,5.59
229,107,5.58
230,106,5.6
231,105,5.6
232,104,5.59
233,103,5.57
234,102,5.55
235,102,5.64
236,102,5.74
237,103,5.72
238,103,5.76
239,103,5.79
240,103,5.79
241,103,5.88
242,102,6.04
243,101,6.08
244,100,6.16
245,99,6.31
246,98,6.26
247,97,6.2
248,96,6.19
249,96,6.19
250,95,6.18
251,95,6.19
252,95,6.22
253,96,6.2
254,95,6.16
255,95,6.14
256,93,6.15
257,92,6.27
258,91,6.3
259,91,6.16
260,91,6.1
261,91,6.19
262,91,6.14
263,92,6.06
264,93,6.0
265,95,5.98
266,97,5.96
267,99,5.94
268,102,5.95
269,104,5.96
270,105,6.03
271,105,6.06
272,104,6.07
273,104,5.99
274,103,5.95
275,102,5.93
276,101,5.91
277,100,6.04
278,99,6.1
279,99,6.0
280,99,5.97
281,101,6.15
282,102,6.17
283,102,6.1
284,102,6.09
285,102,6.05
286,100,6.04
287,99,6.02
288,97,6.0
289,95,5.98
290,93,5.97
291,91,5.98
292,91,6.01
293,91,5.98
294,91,6.08
295,92,6.11
296,92,6.07
297,92,6.02
298,93,6.01
299,93,5.99
300,94,6.01
301,95,6.12
302,96,6.12
303,97,6.07
304,98,6.02
305,98,5.99
306,98,5.96
307,96,5.94
308,95,5.92
309,95,5.91
310,95,5.89
311,96,5.87
312,98,5.84
313,100,5.83
314,103,5.82
315,105,5.9
316,107,5.97
317,110,5.93
318,112,5.88
319,113,5.91
320,114,5.97
321,113,5.94
322,113,5.92
323,112,5.92
324,112,5.96
325,111,5.97
326,111,5.93
327,110,5.9
328,109,5.91
329,108,5.9
330,106,5.88
331,105,5.9
332,105,5.88
333,105,5.86
334,105,5.93
335,105,5.99
336,105,6.16
337,104,6.18
338,103,6.15
339,103,6.11
340,102,6.27
341,101,6.56
342,101,6.7
343,100,6.9
344,100,7.12
345,100,7.15
346,100,7.42
347,100,7.51
348,100,7.38
349,100,7.31
350,100,7.24
351,99,7.2
352,99,7.32
353,99,7.34
354,99,7.2
355,100,7.09
356,101,7.02
357,103,6.98
358,105,6.99
359,107,6.92
360,111,6.9
361,113,6.85
362,114,6.85
363,115,6.84
364,114,6.75
365,114,6.81
366,113,6.97
367,112,6.92
368,111,6.79
369,110,6.99
370,109,7.07
371,109,7.05
372,109,7.11
373,108,7.21
374,108,7.09
375,107,7.03
376,105,7.15
377,104,7.12
378,103,6.97
379,102,6.91
380,101,6.89
381,100,7.1
382,99,6.96
383,99,6.83
384,98,6.92
385,97,6.93
386,95,6.84
387,94,6.88
388,92,7.01
389,91,6.91
390,90,6.74
391,90,6.79
392,89,7.05
393,89,6.94
394,88,6.86
395,87,7.14
396,86,7.46
397,85,7.77
398,84,7.87
399,83,7.86
400,83,7.92
401,83,8.11
402,83,8.11
403,83,8.0
404,83,7.82
405,83,7.76
406,83,7.69
407,83,7.7
408,83,7.73
409,82,7.63
410,82,7.61
411,80,7.44
412,79,7.35
413,77,7.38
414,75,7.55
415,74,7.43
416,73,7.38
417,72,7.21
418,72,7.13
419,72,7.12
420,72,7.16
421,72,7.25
422,71,7.18
423,71,7.29
424,71,7.36
425,72,7.22
426,72,7.15
427,72,7.09
428,72,7.13
429,72,7.25
430,71,7.13
431,71,7.03
432,71,6.99
433,71,6.97
434,70,6.98
435,70,7.0
436,71,6.96
437,72,6.93
438,73,6.99
439,74,7.12
440,74,7.23
441,75,7.08
442,74,7.0
443,74,7.29
444,74,7.33
445,74,7.52
446,73,7.7
447,72,8.07
448,71,8.59
449,70,9.1
450,70,9.47
451,69,9.38
452,69,9.7
453,68,9.48
454,66,9.31
455,65,9.52
456,63,9.36
457,62,9.26
458,60,9.3
459,58,9.1
460,57,9.02
461,56,8.91
462,56,8.87
463,56,8.94
464,57,8.98
465,57,9.0
466,57,9.1
467,57,8.95
468,58,8.8
469,58,9.04
470,57,9.03
471,57,8.89
472,57,9.02
473,57,9.2
474,56,8.92
475,56,8.61
476,55,8.6
477,55,8.56
478,53,8.54
479,52,8.68
480,51,8.72
481,51,8.57
482,51,8.35
483,52,8.24
484,52,8.21
485,52,8.22
486,52,8.19
487,53,8.21
488,53,8.16
489,54,8.1
490,54,8.11
491,54,8.15
492,55,8.14
493,55,8.2
494,57,8.14
495,59,8.07
496,62,8.02
497,64,7.99
498,67,7.98
499,69,8.09
500,70,8.02
501,72,7.95
502,74,8.06
503,76,8.16
504,78,8.06
505,79,7.97
506,81,7.93
507,81,7.91
508,82,7.92
509,83,8.03
510,84,8.14
511,85,8.05
512,85,8.19
513,85,8.12
514,84,8.06
515,83,8.03
516,82,8.04
517,81,8.02
518,79,7.99
519,79,8.23
520,79,8.33
521,79,8.31
522,80,8.38
523,81,8.42
524,83,8.43
525,84,8.68
526,85,8.94
527,85,8.98
528,86,9.12
529,87,9.02
530,87,9.07
531,87,9.0
532,86,9.05
533,87,9.13
534,88,8.98
535,89,8.92
536,91,8.84
537,93,8.89
538,95,8.9
539,96,8.97
540,96,8.76
541,96,8.61
542,96,8.71
543,95,8.86
544,95,8.76
545,96,8.63
546,96,8.59
547,97,8.64
548,97,8.63
549,97,8.59
550,97,8.54
551,97,8.72
552,97,8.84
553,98,8.63
