time,HeartRate,SkinResponse
0,73,0.82
1,73,0.84
2,73,0.91
3,74,0.95
4,75,0.96
5,76,0.99
6,76,1.0
7,77,0.99
8,76,0.99
9,75,0.99
10,74,0.99
11,73,1.03
12,72,1.07
13,72,1.07
14,71,1.05
15,71,1.03
16,72,1.02
17,72,1.01
18,71,1.0
19,71,1.0
20,71,0.99
21,71,1.01
22,71,1.01
23,71,1.0
24,71,1.0
25,72,0.99
26,72,1.04
27,72,1.08
28,71,1.08
29,71,1.05
30,70,1.04
31,69,1.03
32,68,1.07
33,66,1.11
34,65,1.09
35,63,1.08
36,61,1.07
37,60,1.06
38,59,1.07
39,58,1.1
40,58,1.1
41,58,1.17
42,57,1.22
43,57,1.24
44,56,1.24
45,56,1.21
46,55,1.19
47,55,1.17
48,54,1.17
49,55,1.19
50,56,1.19
51,57,1.18
52,58,1.17
53,58,1.19
54,58,1.2
55,58,1.19
56,58,1.18
57,57,1.2
58,57,1.24
59,56,1.31
60,54,1.33
61,53,1.29
62,51,1.26
63,50,1.24
64,49,1.23
65,49,1.22
66,49,1.21
67,50,1.2
68,51,1.2
69,52,1.2
70,53,1.19
71,53,1.19
72,54,1.18
73,54,1.21
74,54,1.34
75,55,1.41
76,55,1.4
77,54,1.38
78,54,1.35
79,54,1.34
80,54,1.33
81,53,1.32
82,52,1.32
83,51,1.31
84,50,1.29
85,49,1.28
86,48,1.29
87,48,1.32
88,48,1.32
89,49,1.29
90,50,1.28
91,51,1.31
92,51,1.4
93,52,1.42
94,51,1.41
95,51,1.39
96,49,1.35
97,48,1.33
98,47,1.32
99,47,1.31
100,47,1.3
101,48,1.32
102,49,1.35
103,50,1.34
104,51,1.33
105,53,1.32
106,53,1.31
107,53,1.35
108,53,1.49
109,53,1.54
110,53,1.52
111,54,1.46
112,54,1.4
113,53,1.39
114,53,1.5
115,53,1.51
116,52,1.48
117,52,1.43
118,51,1.4
119,51,1.38
120,52,1.36
121,53,1.35
122,54,1.34
123,55,1.34
124,56,1.32
125,57,1.32
126,57,1.36
127,58,1.38
128,59,1.38
129,61,1.37
130,63,1.35
131,66,1.34
132,69,1.34
133,71,1.33
134,73,1.31
135,75,1.31
136,76,1.3
137,77,1.29
138,77,1.29
139,78,1.29
140,79,1.28
141,79,1.28
142,80,1.28
143,80,1.37
144,80,1.42
145,80,1.43
146,80,1.44
147,81,1.42
148,81,1.4
149,82,1.39
150,82,1.37
151,81,1.36
152,81,1.36
153,80,1.35
154,79,1.34
155,78,1.33
156,78,1.33
157,78,1.34
158,79,1.34
159,80,1.35
160,81,1.4
161,81,1.42
162,81,1.4
163,80,1.39
164,80,1.38
165,79,1.38
166,78,1.37
167,77,1.36
168,75,1.35
169,74,1.35
170,73,1.34
171,73,1.33
172,74,1.32
173,75,1.32
174,76,1.31
175,77,1.35
176,78,1.42
177,78,1.45
178,78,1.47
179,77,1.48
180,76,1.46
181,75,1.44
182,74,1.42
183,73,1.41
184,73,1.39
185,73,1.38
186,73,1.39
187,72,1.44
188,72,1.53
189,71,1.54
190,71,1.5
191,70,1.48
192,69,1.52
193,68,1.56
194,67,1.53
195,67,1.5
196,68,1.47
197,67,1.46
198,67,1.52
199,67,1.54
200,66,1.52
201,66,1.49
202,66,1.49
203,66,1.53
204,66,1.52
205,66,1.49
206,65,1.49
207,65,1.48
208,64,1.47
209,64,1.5
210,63,1.48
211,63,1.47
212,63,1.45
213,64,1.42
214,64,1.44
215,64,1.52
216,65,1.6
217,65,1.59
218,65,1.55
219,65,1.49
220,66,1.48
221,66,1.44
222,65,1.43
223,65,1.43
224,65,1.42
225,64,1.41
226,64,1.41
227,64,1.41
228,64,1.36
229,64,1.36
230,64,1.38
231,63,1.38
232,62,1.42
233,61,1.5
234,59,1.51
235,58,1.48
236,56,1.47
237,54,1.5
238,53,1.57
239,52,1.63
240,52,1.66
241,52,1.62
242,53,1.57
243,53,1.54
244,54,1.52
245,55,1.52
246,54,1.51
247,54,1.49
248,53,1.49
249,52,1.51
250,52,1.71
251,52,1.83
252,52,1.81
253,51,1.75
254,51,1.69
255,50,1.79
256,49,1.8
257,49,1.73
258,48,1.66
259,47,1.64
260,46,1.59
261,45,1.56
262,44,1.57
263,44,1.61
264,44,1.6
265,44,1.59
266,44,1.58
267,45,1.57
268,45,1.58
269,45,1.65
270,46,1.67
271,46,1.67
272,47,1.69
273,48,1.68
274,49,1.65
275,49,1.63
276,49,1.62
277,50,1.63
278,51,1.73
279,51,1.86
280,52,1.9
281,52,1.93
282,52,1.89
283,52,1.82
284,52,1.76
285,51,1.73
286,51,1.73
287,50,1.72
288,51,1.71
289,51,1.7
290,52,1.84
291,52,1.94
292,53,2.02
293,52,2.04
294,51,2.01
295,50,1.95
296,49,1.95
297,48,2.05
298,47,2.02
299,47,2.0
300,48,1.98
301,49,1.98
302,49,2.01
303,49,2.01
304,47,1.98
305,46,1.93
306,45,1.89
307,44,1.91
308,44,1.9
309,44,1.88
310,45,1.86
311,47,1.9
312,49,1.97
313,50,1.97
314,51,1.94
315,51,1.91
316,50,1.98
317,50,2.08
318,49,2.13
319,49,2.12
320,49,2.12
321,48,2.13
322,48,2.28
323,47,2.3
324,49,2.23
325,49,2.16
326,50,2.11
327,49,2.07
328,48,2.04
329,47,2.01
330,47,1.99
331,47,2.07
332,47,2.15
333,47,2.16
334,46,2.21
335,45,2.28
336,45,2.24
337,44,2.16
338,44,2.09
339,44,2.05
340,44,2.02
341,44,2.02
342,44,2.02
343,44,2.01
344,45,1.99
345,46,1.98
346,47,1.97
347,48,2.0
348,48,2.03
349,49,2.03
350,48,2.11
351,48,2.15
352,49,2.13
353,50,2.09
354,51,2.08
355,51,2.11
356,52,2.24
357,52,2.27
358,52,2.22
359,52,2.19
360,52,2.18
361,53,2.17
362,53,2.24
363,54,2.21
364,55,2.16
365,56,2.12
366,57,2.09
367,58,2.06
368,58,2.03
369,58,2.01
370,57,2.01
371,57,2.15
372,56,2.37
373,55,2.4
374,54,2.43
375,54,2.4
376,53,2.47
377,52,2.52
378,52,2.52
379,52,2.45
380,52,2.4
381,52,2.57
382,53,2.7
383,53,2.69
384,54,2.73
385,55,2.76
386,55,2.83
387,55,2.86
388,55,2.76
389,54,2.66
390,54,2.6
391,53,2.61
392,52,2.78
393,52,2.77
394,52,2.67
395,53,2.66
396,53,2.73
397,54,2.7
398,54,2.61
399,55,2.56
400,55,2.52
401,56,2.48
402,56,2.46
403,56,2.43
404,56,2.42
405,55,2.41
406,54,2.4
407,53,2.42
408,52,2.4
409,52,2.39
410,51,2.36
411,51,2.33
412,50,2.31
413,50,2.32
414,49,2.31
415,47,2.3
416,46,2.28
417,45,2.27
418,44,2.26
419,44,2.25
420,45,2.24
421,47,2.23
422,48,2.21
423,50,2.2
424,51,2.19
425,52,2.19
426,53,2.19
427,53,2.18
428,54,2.17
429,54,2.17
430,54,2.16
431,54,2.17
432,53,2.17
433,53,2.19
434,52,2.28
435,51,2.35
436,51,2.39
437,51,2.54
438,52,2.62
439,53,2.6
440,55,2.59
441,58,2.65
442,60,2.62
443,59,2.59
444,59,2.75
445,58,2.74
446,57,2.68
447,56,2.69
448,55,2.86
449,54,2.84
450,53,2.76
451,52,2.65
452,52,2.57
453,52,2.51
454,53,2.49
455,53,2.62
456,54,2.64
457,53,2.6
458,53,2.58
459,52,2.54
460,52,2.49
461,52,2.44
462,52,2.4
463,53,2.38
464,54,2.36
465,54,2.34
466,55,2.32
467,56,2.31
468,58,2.31
469,60,2.29
470,62,2.27
471,64,2.27
472,66,2.26
473,67,2.27
474,69,2.35
475,70,2.35
476,71,2.32
477,71,2.3
478,72,2.36
479,72,2.41
480,72,2.38
481,73,2.33
482,75,2.29
483,76,2.26
484,77,2.25
485,78,2.24
486,78,2.23
487,78,2.23
488,78,2.22
489,78,2.2
490,78,2.19
491,78,2.18
492,78,2.18
493,78,2.16
494,77,2.16
495,77,2.32
496,76,2.44
497,76,2.44
498,75,2.43
499,74,2.41
500,74,2.43
501,74,2.52
502,73,2.51
503,73,2.47
504,72,2.42
505,71,2.37
506,70,2.33
507,69,2.31
508,68,2.29
509,68,2.27
510,69,2.25
511,69,2.24
512,70,2.23
513,70,2.22
514,70,2.21
515,70,2.19
516,70,2.18
517,71,2.16
518,73,2.15
519,74,2.15
520,75,2.15
521,78,2.14
522,78,2.12
523,79,2.11
524,79,2.1
525,79,2.09
526,80,2.08
527,81,2.08
528,82,2.08
529,82,2.07
530,81,2.07
531,81,2.07
532,80,2.06
533,78,2.06
534,77,2.05
535,76,2.06
536,75,2.13
537,75,2.18
538,75,2.19
539,75,2.21
540,74,2.25
541,73,2.25
542,72,2.22
543,71,2.2
544,70,2.18
545,69,2.17
546,69,2.16
547,69,2.15
548,69,2.15
549,69,2.15
550,68,2.14
551,68,2.13
552,67,2.13
553,67,2.15
554,66,2.18
555,66,2.19
556,66,2.18
557,65,2.17
558,65,2.14
559,63,2.13
560,62,2.12
561,60,2.11
562,59,2.1
563,59,2.08
564,60,2.08
565,61,2.1
566,63,2.11
567,63,2.11
568,64,2.11
569,65,2.14
570,66,2.14
571,66,2.14
572,67,2.12
573,67,2.13
574,67,2.13
575,67,2.12
576,67,2.11
577,68,2.09
578,69,2.09
579,71,2.08
