time,HeartRate,SkinResponse
0,90,6.15
1,91,6.23
2,93,6.27
3,95,6.31
4,96,6.36
5,98,6.35
6,99,6.32
7,100,6.29
8,102,6.24
9,104,6.19
10,105,6.14
11,105,6.19
12,105,6.34
13,104,6.38
14,103,6.33
15,103,6.26
16,103,6.2
17,104,6.13
18,106,6.07
19,107,6.06
20,108,6.06
21,107,6.03
22,107,5.99
23,104,6.0
24,102,6.2
25,101,6.33
26,101,6.41
27,101,6.38
28,99,6.31
29,99,6.3
30,98,6.25
31,99,6.24
32,99,6.21
33,100,6.2
34,99,6.28
35,99,6.37
36,98,6.38
37,97,6.34
38,97,6.31
39,97,6.28
40,99,6.44
41,100,6.67
42,101,6.68
43,101,6.63
44,101,6.57
45,100,6.51
46,99,6.56
47,98,6.65
48,98,6.77
49,99,6.83
50,100,6.83
51,100,6.79
52,101,6.81
53,101,6.96
54,101,7.02
55,100,7.02
56,100,6.98
57,101,6.9
58,103,6.87
59,105,6.89
60,107,6.91
61,109,6.9
62,111,6.95
63,113,7.25
64,114,7.35
65,113,7.3
66,113,7.23
67,112,7.18
68,110,7.15
69,109,7.1
70,108,7.07
71,108,7.25
72,108,7.34
73,108,7.31
74,108,7.23
75,106,7.17
76,105,7.12
77,104,7.08
78,103,7.07
79,102,7.06
80,102,7.02
81,101,6.97
82,100,6.94
83,99,6.97
84,98,7.12
85,97,7.23
86,96,7.19
87,95,7.14
88,94,7.06
89,93,6.98
90,93,6.91
91,94,7.07
92,94,7.25
93,94,7.22
94,94,7.15
95,94,7.09
96,95,7.03
97,96,7.04
98,98,7.04
99,100,7.01
100,101,7.07
101,103,7.1
102,103,7.07
103,103,7.1
104,103,7.11
105,103,7.06
106,103,6.99
107,103,6.9
108,103,6.83
109,103,6.77
110,103,6.75
111,103,6.85
112,103,6.89
113,102,6.89
114,101,6.95
115,100,6.96
116,98,6.9
117,97,6.85
118,97,6.88
119,98,7.02
120,100,7.02
121,100,6.93
122,100,6.88
123,100,6.86
124,98,6.86
125,97,6.94
126,97,6.96
127,96,6.91
128,96,6.89
129,96,6.9
130,96,6.96
131,97,7.02
132,98,6.97
133,99,6.91
134,98,6.85
135,97,6.81
136,95,6.88
137,94,6.94
138,93,6.93
139,93,6.91
140,92,6.91
141,92,6.98
142,91,7.08
143,92,7.11
144,93,7.06
145,94,7.0
146,95,6.94
147,96,6.91
148,97,7.05
149,99,7.18
150,101,7.21
151,102,7.18
152,103,7.11
153,102,7.06
154,101,7.02
155,99,7.05
156,98,7.07
157,98,7.03
158,99,6.97
159,99,6.97
160,99,7.06
161,99,7.11
162,99,7.23
163,99,7.27
164,99,7.2
165,99,7.12
166,99,7.05
167,99,7.04
168,101,7.12
169,103,7.13
170,104,7.08
171,105,7.03
172,104,6.98
173,104,6.95
174,103,6.91
175,101,6.9
176,100,6.91
177,99,6.92
178,99,6.9
179,98,6.88
180,97,6.89
181,94,6.88
182,92,6.85
183,92,6.82
184,93,6.78
185,94,6.75
186,94,6.79
187,95,6.83
188,95,7.0
189,94,7.19
190,93,7.16
191,92,7.09
192,91,7.01
193,91,6.93
194,91,6.85
195,92,6.84
196,93,6.85
197,93,6.87
198,93,6.99
199,92,7.2
200,92,7.19
201,91,7.14
202,92,7.06
203,93,6.93
204,94,6.9
205,96,6.88
206,98,7.0
207,100,7.09
208,102,7.11
209,104,7.17
210,104,7.24
211,104,7.29
212,103,7.36
213,102,7.34
214,102,7.31
215,102,7.28
216,103,7.21
217,104,7.13
218,104,7.1
219,104,7.26
220,103,7.47
221,100,7.48
222,98,7.46
223,96,7.39
224,94,7.34
225,92,7.41
226,91,7.5
227,91,7.54
228,91,7.48
229,92,7.39
230,94,7.34
231,97,7.26
232,99,7.17
233,102,7.11
234,103,7.08
235,104,7.23
236,105,7.38
237,107,7.4
