time,HeartRate,SkinResponse
0,121,5.61
1,120,5.7
2,120,5.73
3,120,5.7
4,119,5.63
5,118,5.56
6,117,5.51
7,116,5.46
8,115,5.43
9,115,5.49
10,116,5.63
11,117,5.67
12,117,5.68
13,118,5.69
14,118,5.63
15,118,5.64
16,118,5.59
17,118,5.51
18,119,5.53
19,121,5.62
20,123,5.77
21,124,5.88
22,125,5.89
23,125,5.84
24,124,5.78
25,122,5.71
26,121,5.64
27,119,5.59
28,118,5.54
29,118,5.7
30,119,5.86
31,121,5.96
32,123,6.07
33,124,6.01
34,123,5.96
35,122,5.95
36,121,5.88
37,119,5.84
38,118,5.88
39,117,5.88
40,117,5.94
41,118,6.07
42,118,6.05
43,118,6.04
44,118,5.94
45,117,5.94
46,115,5.94
47,114,5.91
48,113,5.87
49,113,5.86
50,114,5.84
51,115,5.9
52,116,6.04
53,116,6.16
54,114,6.32
55,113,6.42
56,112,6.45
57,112,6.48
58,112,6.44
59,112,6.4
60,114,6.35
61,115,6.34
62,116,6.32
63,116,6.24
64,115,6.26
65,114,6.28
66,112,6.26
67,112,6.24
68,112,6.29
69,112,6.38
70,113,6.46
71,116,6.45
72,117,6.41
73,119,6.35
74,120,6.29
75,120,6.34
76,120,6.48
77,119,6.52
78,119,6.47
79,118,6.46
80,117,6.43
81,117,6.35
82,116,6.31
83,116,6.26
84,117,6.23
85,118,6.18
86,118,6.24
87,118,6.47
88,117,6.62
89,117,6.62
90,117,6.6
91,118,6.55
92,119,6.47
93,119,6.4
94,119,6.38
95,117,6.43
96,116,6.41
97,115,6.41
98,115,6.38
99,114,6.32
100,113,6.27
101,112,6.23
102,111,6.21
103,112,6.27
104,113,6.37
105,114,6.45
106,116,6.46
107,118,6.45
108,119,6.38
109,121,6.3
110,121,6.23
111,120,6.18
112,118,6.15
113,117,6.14
114,115,6.15
115,113,6.11
116,113,6.17
117,114,6.28
118,115,6.32
119,116,6.35
120,118,6.44
121,119,6.49
122,120,6.5
123,121,6.45
124,121,6.4
125,120,6.34
126,120,6.28
127,119,6.22
128,117,6.17
129,116,6.12
130,114,6.07
131,112,6.06
132,111,6.07
133,112,6.12
134,114,6.18
135,116,6.24
136,117,6.23
137,118,6.22
138,118,6.21
139,116,6.17
140,115,6.12
141,113,6.08
142,112,6.04
143,110,5.99
144,109,5.98
145,108,6.1
146,108,6.25
147,109,6.35
148,110,6.43
149,112,6.47
150,112,6.45
151,112,6.44
152,112,6.4
153,112,6.4
154,113,6.36
155,115,6.31
156,117,6.25
157,118,6.19
158,119,6.17
159,118,6.14
160,118,6.09
161,116,6.12
162,115,6.31
163,115,6.5
164,116,6.61
165,116,6.66
166,117,6.62
167,117,6.59
168,118,6.62
169,119,6.62
170,120,6.61
171,121,6.57
172,122,6.52
173,122,6.46
174,122,6.38
175,121,6.33
176,120,6.3
177,118,6.28
178,116,6.25
179,116,6.23
180,116,6.19
181,117,6.16
182,117,6.14
183,117,6.14
184,117,6.16
185,115,6.16
186,114,6.16
187,114,6.15
188,115,6.12
189,116,6.11
190,117,6.09
191,116,6.07
192,116,6.06
193,115,6.05
194,115,6.03
195,115,6.03
196,114,6.04
197,113,6.08
198,112,6.19
199,112,6.25
200,112,6.26
201,112,6.26
202,113,6.29
203,114,6.3
204,115,6.3
205,115,6.27
206,115,6.23
207,114,6.2
208,114,6.18
209,115,6.22
210,116,6.26
211,117,6.26
212,116,6.22
213,116,6.19
214,115,6.16
215,115,6.13
216,115,6.1
217,115,6.06
218,115,6.03
219,115,6.0
220,114,5.98
221,114,5.96
222,114,5.94
223,114,5.92
224,113,5.9
225,113,5.88
226,112,5.87
227,111,5.85
228,111,5.83
229,112,5.82
230,113,5.8
231,115,5.79
232,116,5.78
233,118,5.77
234,118,5.75
235,118,5.74
236,117,5.73
237,115,5.72
238,114,5.72
239,112,5.71
240,111,5.73
241,110,5.77
242,112,5.79
243,114,5.8
244,115,5.8
245,116,5.8
246,117,5.79
247,116,5.79
248,115,5.78
249,114,5.78
250,112,5.77
251,111,5.76
252,111,5.76
253,112,5.83
254,113,6.02
255,115,6.2
256,117,6.25
257,119,6.24
258,119,6.2
259,119,6.16
260,118,6.12
261,117,6.07
262,116,5.98
263,114,5.93
264,112,5.89
265,110,5.88
266,110,5.83
267,111,5.9
268,114,5.93
269,116,5.93
270,118,5.95
271,119,6.02
272,120,6.13
273,120,6.23
274,119,6.33
275,117,6.36
276,116,6.45
277,115,6.58
278,116,6.63
279,117,6.64
280,118,6.63
281,120,6.59
282,120,6.61
283,120,6.74
284,118,6.84
285,117,6.93
286,117,7.04
287,118,7.24
288,120,7.38
289,121,7.51
290,123,7.61
291,125,7.75
292,126,7.84
293,127,7.87
294,127,7.85
295,128,7.78
296,128,7.69
297,129,7.61
298,129,7.57
299,129,7.57
300,129,7.56
301,129,7.6
302,129,7.7
303,129,7.74
304,130,7.73
305,129,7.71
306,128,7.76
307,125,7.85
308,124,7.9
309,124,7.88
310,125,7.86
311,127,7.97
312,129,8.0
313,130,7.9
314,131,7.82
315,132,7.74
316,131,7.74
317,131,7.92
318,130,8.0
319,129,7.98
320,130,7.94
321,131,7.89
322,132,7.9
323,133,7.91
324,133,7.88
325,133,7.83
326,133,7.75
327,132,7.67
328,131,7.58
329,131,7.49
330,131,7.42
331,131,7.44
332,131,7.66
333,131,7.83
334,131,7.84
335,131,7.8
336,131,7.78
337,131,7.93
338,131,8.07
339,131,8.07
340,130,8.05
341,128,8.19
342,127,8.25
343,126,8.33
344,127,8.44
345,128,8.5
346,132,8.51
347,134,8.57
348,135,8.74
349,136,8.83
350,135,8.83
351,134,8.77
352,133,8.76
353,131,8.65
354,130,8.6
355,129,8.57
356,129,8.59
357,129,8.76
358,130,8.85
359,132,8.82
360,132,8.76
361,132,8.69
362,131,8.59
363,130,8.48
364,128,8.38
365,128,8.3
366,128,8.24
367,130,8.21
368,132,8.22
369,134,8.21
370,136,8.22
371,136,8.22
372,136,8.19
373,135,8.16
374,135,8.13
375,135,8.11
376,135,8.13
377,135,8.16
378,135,8.14
379,135,8.13
380,135,8.12
381,135,8.17
382,135,8.2
383,136,8.18
384,136,8.15
385,136,8.13
386,133,8.1
387,131,8.06
388,129,8.02
389,129,7.98
390,129,7.93
391,128,7.89
392,127,7.85
393,126,7.84
394,125,7.88
395,124,8.08
396,123,8.18
397,123,8.21
398,124,8.19
399,126,8.14
400,127,8.14
401,128,8.2
402,128,8.24
403,127,8.24
404,125,8.19
405,125,8.15
406,124,8.14
407,125,8.23
408,127,8.31
409,128,8.33
410,130,8.33
411,130,8.35
412,131,8.41
413,131,8.4
414,131,8.38
415,131,8.37
416,131,8.38
417,131,8.41
418,132,8.41
419,132,8.4
420,133,8.38
421,132,8.38
422,132,8.35
423,132,8.32
424,132,8.29
425,134,8.24
426,134,8.18
427,134,8.11
428,134,8.05
429,132,8.01
430,131,7.96
431,129,7.92
432,127,7.89
433,126,7.87
434,126,7.86
435,126,7.83
436,126,7.81
437,125,7.8
438,124,7.79
439,123,7.79
440,121,7.79
441,120,7.88
442,120,7.96
443,121,7.99
444,123,7.98
445,125,7.96
446,126,7.94
447,125,7.92
448,124,7.88
449,122,7.83
450,121,7.81
451,121,7.81
452,122,7.83
453,122,7.85
454,122,7.89
455,121,7.99
456,120,8.15
457,119,8.2
458,120,8.21
459,121,8.21
460,122,8.16
461,122,8.09
462,122,8.04
463,121,7.99
464,119,7.93
465,118,7.87
466,119,7.81
467,121,7.8
468,123,7.96
469,124,8.07
470,124,8.12
471,122,8.15
472,121,8.14
473,120,8.1
474,119,8.05
475,119,8.03
476,118,8.01
477,116,7.96
478,115,7.91
479,115,7.92
480,115,8.05
481,116,8.11
482,117,8.1
483,119,8.12
484,120,8.18
485,120,8.24
486,120,8.26
487,119,8.24
488,119,8.17
489,119,8.12
490,120,8.06
491,120,8.0
492,121,7.92
493,121,7.86
494,121,7.86
495,121,7.86
496,120,7.91
497,119,7.97
498,118,7.99
499,117,8.08
500,117,8.16
501,117,8.17
502,117,8.14
503,117,8.1
504,115,8.06
505,115,8.01
506,115,7.96
507,116,7.92
508,116,7.89
509,115,7.87
510,115,7.84
511,115,7.8
512,114,7.74
513,114,7.76
514,113,7.75
515,112,7.74
516,112,7.74
517,114,7.72
518,115,7.72
519,117,7.76
520,118,7.84
521,119,7.88
522,120,7.88
523,119,7.92
524,119,7.97
525,118,7.97
526,117,7.94
527,116,7.92
528,115,7.89
529,115,7.86
530,114,7.84
531,113,7.82
532,112,7.78
533,111,7.75
534,111,7.72
535,111,7.7
536,110,7.67
537,110,7.65
538,110,7.63
539,110,7.61
540,110,7.59
541,109,7.58
542,109,7.58
543,109,7.58
544,109,7.59
545,110,7.63
546,109,7.66
547,109,7.67
548,107,7.67
549,106,7.68
550,105,7.75
551,104,7.8
552,104,7.86
553,106,7.87
554,108,7.88
555,110,7.89
556,111,7.87
557,112,7.83
558,112,7.78
559,112,7.74
560,110,7.86
561,109,7.99
562,107,8.02
563,107,7.99
564,107,7.93
565,107,7.88
566,109,7.82
567,111,7.77
568,114,7.71
569,116,7.65
570,118,7.61
571,119,7.57
572,119,7.54
573,119,7.53
574,117,7.52
575,116,7.5
576,114,7.48
577,113,7.46
578,113,7.44
579,113,7.43
580,113,7.48
581,111,7.62
582,110,7.8
583,107,7.88
584,107,7.87
585,107,7.84
586,108,7.8
587,110,7.76
588,111,7.76
589,113,7.69
590,113,7.65
591,113,7.62
592,113,7.59
593,112,7.56
594,111,7.55
595,110,7.53
596,108,7.51
597,107,7.49
598,105,7.48
599,103,7.51
600,101,7.5
601,99,7.49
602,98,7.48
603,97,7.47
604,98,7.46
605,99,7.45
606,100,7.45
607,100,7.43
608,100,7.44
609,99,7.47
610,99,7.49
611,100,7.49
612,102,7.48
613,103,7.46
614,104,7.46
615,105,7.46
616,104,7.45
617,103,7.45
618,101,7.45
619,100,7.44
620,100,7.42
621,101,7.41
622,105,7.41
623,106,7.4
624,107,7.4
625,106,7.42
626,105,7.46
627,104,7.56
628,103,7.63
629,103,7.66
630,104,7.66
631,105,7.65
632,105,7.62
633,105,7.62
