time,HeartRate,SkinResponse
0,81,1.42
1,81,1.42
2,82,1.39
3,83,1.37
4,85,1.36
5,86,1.47
6,86,1.53
7,86,1.57
8,85,1.6
9,84,1.61
10,85,1.61
11,87,1.59
12,89,1.61
13,90,1.61
14,90,1.6
15,90,1.58
16,88,1.57
17,87,1.57
18,86,1.57
19,85,1.57
20,86,1.57
21,85,1.57
22,85,1.61
23,84,1.67
24,83,1.67
25,82,1.65
26,83,1.63
27,85,1.62
28,86,1.66
29,87,1.76
30,87,1.79
31,87,1.76
32,87,1.73
33,87,1.76
34,86,1.75
35,86,1.74
36,85,1.72
37,85,1.7
38,85,1.7
39,86,1.69
40,86,1.68
41,87,1.69
42,86,1.69
43,85,1.7
44,85,1.7
45,84,1.7
46,84,1.75
47,83,1.76
48,81,1.75
49,80,1.73
50,80,1.71
51,80,1.71
52,80,1.7
53,80,1.69
54,79,1.68
55,79,1.68
56,79,1.67
57,79,1.69
58,80,1.75
59,80,1.77
60,81,1.77
61,82,1.76
62,84,1.75
63,84,1.78
64,84,1.78
65,84,1.76
66,82,1.74
67,81,1.73
68,79,1.73
69,78,1.73
70,78,1.72
71,78,1.72
72,79,1.7
73,79,1.7
74,80,1.71
75,79,1.74
76,79,1.74
77,78,1.76
78,77,1.75
79,78,1.74
80,79,1.74
81,80,1.75
82,81,1.79
83,82,1.82
84,81,1.81
85,80,1.79
86,79,1.77
87,78,1.75
88,78,1.75
89,79,1.74
90,80,1.74
91,81,1.73
92,80,1.73
93,80,1.73
94,80,1.74
95,81,1.77
96,81,1.78
97,81,1.77
98,81,1.76
99,81,1.75
100,81,1.74
101,82,1.75
102,83,1.81
103,84,1.85
104,85,1.92
105,86,1.94
106,87,1.9
107,86,1.87
108,86,1.84
109,85,1.82
110,85,1.81
111,84,1.81
112,84,1.8
113,84,1.79
114,84,1.83
115,85,1.88
116,85,1.91
117,84,1.91
118,84,1.91
119,84,1.93
120,84,1.93
121,84,1.94
122,84,1.94
123,84,1.91
124,86,1.9
125,88,1.92
126,90,1.96
127,91,1.99
128,91,1.98
129,90,2.03
130,90,2.03
131,89,2.0
132,89,1.97
133,87,1.98
134,86,1.98
135,84,1.96
136,83,1.94
137,80,1.94
138,77,1.93
139,77,1.92
140,78,1.94
141,78,1.98
142,79,1.98
143,79,1.96
144,79,1.94
145,79,1.98
146,79,2.02
147,79,2.01
148,78,1.98
149,78,1.96
150,77,1.95
151,77,1.96
152,78,1.96
153,79,1.96
154,79,1.95
155,80,1.93
156,80,1.92
157,80,1.92
158,80,1.92
159,80,1.93
160,79,1.92
161,79,1.91
162,78,1.9
163,77,1.91
164,76,1.93
165,75,1.94
166,75,1.95
167,75,1.95
168,74,1.93
169,74,1.93
170,73,1.93
171,73,1.93
172,74,1.92
173,75,1.93
174,77,1.97
175,80,2.01
176,82,2.0
177,84,1.98
178,84,1.96
179,83,1.95
180,82,1.95
181,81,1.98
182,79,1.99
183,78,1.98
184,78,1.97
185,79,1.96
186,81,1.97
187,82,1.99
188,83,2.0
189,82,1.99
190,81,1.99
191,79,1.99
192,78,1.99
193,77,1.98
194,76,2.01
195,75,2.06
196,74,2.11
197,74,2.13
198,74,2.13
199,75,2.17
200,76,2.23
201,78,2.21
202,78,2.16
203,79,2.18
204,78,2.2
205,78,2.17
206,78,2.14
207,78,2.12
208,79,2.12
209,81,2.12
210,81,2.16
211,81,2.21
212,80,2.29
213,79,2.31
214,76,2.28
215,74,2.24
216,72,2.26
217,71,2.25
218,72,2.29
219,74,2.31
220,76,2.29
221,79,2.28
222,82,2.27
223,84,2.26
224,86,2.29
225,86,2.44
226,87,2.52
227,87,2.49
228,87,2.52
229,87,2.51
230,86,2.46
231,84,2.4
232,83,2.38
233,81,2.36
234,80,2.35
235,79,2.33
236,79,2.34
237,79,2.38
238,79,2.42
239,79,2.53
240,79,2.58
241,79,2.54
242,79,2.49
243,77,2.46
244,76,2.46
245,75,2.46
246,76,2.44
247,77,2.51
248,78,2.55
249,79,2.57
250,79,2.55
251,78,2.51
252,78,2.56
253,77,2.61
254,76,2.66
255,76,2.62
256,76,2.57
257,76,2.53
258,76,2.48
259,75,2.47
260,73,2.46
261,72,2.48
262,71,2.49
263,70,2.49
264,70,2.5
265,70,2.49
266,71,2.48
267,70,2.5
268,70,2.49
269,70,2.48
270,69,2.5
271,69,2.54
272,69,2.54
273,69,2.52
274,70,2.5
275,72,2.5
276,75,2.52
277,78,2.52
278,81,2.54
279,83,2.54
280,84,2.54
281,85,2.54
282,84,2.55
283,83,2.57
284,81,2.57
285,80,2.69
286,79,2.76
287,78,2.76
288,78,2.82
289,77,2.82
290,76,2.79
291,75,2.8
292,76,2.82
293,76,2.8
294,77,2.76
295,77,2.79
296,77,2.91
297,77,2.95
298,77,2.94
299,77,3.02
300,77,3.03
301,78,3.02
302,80,3.01
303,80,3.04
304,80,3.04
305,80,3.0
306,78,2.96
307,77,2.96
308,77,2.95
309,78,3.04
310,79,3.06
311,81,3.08
312,82,3.27
313,83,3.28
314,83,3.23
315,82,3.28
316,80,3.29
317,79,3.36
318,78,3.34
319,78,3.24
320,79,3.16
321,80,3.12
322,81,3.15
323,82,3.2
324,83,3.23
325,85,3.29
326,85,3.45
327,85,3.46
328,84,3.38
329,82,3.29
330,81,3.24
331,80,3.29
332,81,3.35
333,82,3.35
334,82,3.33
335,82,3.31
336,82,3.32
337,81,3.29
338,81,3.25
339,81,3.21
340,81,3.19
341,82,3.19
342,82,3.22
343,83,3.22
344,83,3.2
345,83,3.21
346,83,3.31
347,83,3.34
348,83,3.32
349,83,3.27
350,83,3.25
351,83,3.23
352,83,3.21
353,84,3.26
354,85,3.29
355,86,3.24
356,87,3.2
357,86,3.23
358,85,3.23
359,83,3.19
360,82,3.15
361,82,3.14
362,84,3.2
363,86,3.26
364,88,3.31
365,89,3.3
366,90,3.36
367,90,3.43
368,90,3.45
369,88,3.48
370,87,3.52
371,86,3.57
372,85,3.61
373,85,3.6
374,86,3.77
375,86,3.91
376,87,3.97
377,86,4.06
378,85,4.21
379,84,4.24
380,84,4.26
381,85,4.35
382,86,4.36
383,87,4.3
384,87,4.22
385,86,4.2
386,85,4.47
387,83,4.62
388,82,4.61
389,81,4.5
390,81,4.36
391,81,4.27
392,82,4.2
393,83,4.25
394,84,4.35
395,85,4.43
396,85,4.43
397,85,4.36
398,85,4.29
399,84,4.27
400,83,4.31
401,82,4.29
402,82,4.24
403,82,4.2
404,82,4.22
405,81,4.28
406,80,4.26
407,81,4.22
408,82,4.17
409,82,4.13
410,82,4.1
411,82,4.08
412,81,4.05
413,80,4.02
414,80,4.01
415,81,4.17
416,83,4.28
417,84,4.23
418,85,4.13
419,85,4.14
420,84,4.14
421,83,4.14
422,81,4.07
423,81,3.97
424,82,3.93
425,84,3.89
426,85,3.84
427,86,3.84
428,86,3.89
429,85,3.88
430,84,3.84
431,83,3.82
432,83,3.87
433,84,3.91
434,85,4.05
435,87,4.07
436,87,4.03
437,88,4.02
438,87,4.01
439,87,3.99
440,86,3.98
441,84,3.97
442,83,3.95
443,81,3.95
444,79,3.92
445,78,3.91
446,78,4.0
447,79,4.08
448,81,4.1
449,82,4.12
450,83,4.13
451,83,4.19
452,83,4.21
453,82,4.18
454,82,4.16
455,81,4.14
456,80,4.07
457,80,4.0
458,82,3.99
459,84,3.98
460,86,3.96
461,87,3.98
462,88,4.0
463,87,3.98
464,86,3.97
465,86,3.98
466,86,4.01
467,86,3.99
468,86,3.98
469,86,3.98
470,86,3.97
471,86,4.02
472,87,4.08
473,87,4.15
474,87,4.14
475,87,4.11
476,88,4.07
477,88,4.02
478,89,4.01
479,89,3.99
480,88,3.96
481,88,3.93
482,88,3.91
483,87,3.88
484,87,3.85
485,86,3.84
486,85,3.86
487,84,3.89
488,83,3.94
489,83,3.94
490,84,3.91
491,84,3.89
492,83,3.92
493,82,3.99
494,80,3.97
495,80,4.01
496,80,4.08
497,81,4.06
498,82,3.98
499,83,3.92
500,84,3.87
501,83,3.85
502,82,3.85
503,81,3.84
504,80,3.82
505,79,3.8
506,79,3.79
507,80,3.78
508,81,3.83
509,82,3.86
510,84,3.85
511,84,3.85
512,84,3.86
513,84,3.85
514,83,3.84
515,83,3.83
516,83,3.81
517,84,3.8
518,84,3.82
519,85,3.84
520,84,3.83
521,84,3.8
522,83,3.78
523,83,3.76
524,84,3.77
525,85,3.81
526,85,3.81
527,85,3.81
528,85,3.82
529,85,3.81
530,84,3.79
531,83,3.77
532,83,3.75
533,83,3.78
534,84,3.86
535,85,3.85
536,86,3.81
537,86,3.77
538,85,3.76
539,84,3.76
540,83,3.76
541,82,3.77
542,83,3.77
543,85,3.75
544,87,3.74
545,88,3.73
546,88,3.72
547,87,3.71
548,86,3.71
549,85,3.7
550,85,3.7
551,85,3.73
552,85,3.73
553,85,3.73
554,85,3.71
555,84,3.7
556,84,3.7
557,84,3.69
558,85,3.69
559,85,3.68
560,85,3.67
561,85,3.66
562,84,3.65
563,83,3.71
564,81,3.74
565,80,3.74
566,81,3.81
567,82,3.84
568,83,3.8
569,84,3.75
570,85,3.73
571,86,3.71
572,87,3.71
573,88,3.7
574,89,3.7
575,89,3.72
576,90,3.72
577,89,3.69
578,89,3.68
579,87,3.66
580,86,3.65
581,83,3.64
582,82,3.63
583,81,3.63
584,81,3.63
585,82,3.62
586,82,3.62
587,83,3.62
588,82,3.62
589,81,3.62
590,79,3.61
591,78,3.61
592,78,3.64
593,79,3.72
594,80,3.72
595,82,3.69
596,82,3.68
597,82,3.66
598,82,3.64
599,82,3.62
600,82,3.61
601,83,3.62
602,83,3.64
603,83,3.64
604,83,3.62
605,82,3.6
606,82,3.59
607,80,3.58
608,79,3.57
609,78,3.57
610,78,3.56
611,79,3.55
612,78,3.54
613,77,3.54
614,76,3.53
615,74,3.53
616,73,3.53
617,73,3.53
618,74,3.53
619,75,3.52
620,77,3.52
621,77,3.52
622,77,3.51
623,76,3.5
624,75,3.5
625,74,3.49
626,74,3.48
627,76,3.48
628,77,3.48
629,78,3.47
630,77,3.48
631,76,3.47
632,75,3.47
633,75,3.46
634,76,3.45
635,78,3.45
636,80,3.46
637,81,3.45
638,82,3.46
639,81,3.46
640,81,3.46
641,81,3.5
642,82,3.54
643,83,3.57
644,84,3.65
645,86,3.77
646,87,3.89
647,89,3.89
648,90,3.91
649,90,3.87
650,89,3.8
651,88,3.75
652,87,3.72
653,85,3.73
654,84,3.73
655,82,3.71
656,81,3.69
657,79,3.68
658,78,3.66
659,77,3.71
660,78,3.82
661,79,3.86
662,79,3.86
663,80,3.92
664,80,3.91
665,81,3.87
666,81,3.81
667,80,3.78
668,80,3.83
669,79,3.85
670,78,3.82
671,78,3.79
672,78,3.79
673,79,3.81
674,80,3.79
675,80,3.76
676,80,3.74
677,79,3.75
678,79,3.82
679,79,3.85
680,80,3.83
681,80,3.82
682,81,3.84
683,81,3.82
684,81,3.81
685,81,3.79
686,81,3.78
687,81,3.79
688,81,3.78
689,81,3.77
690,81,3.77
691,82,3.89
692,82,3.93
693,83,3.9
694,83,3.94
695,84,3.96
696,84,3.93
697,84,3.89
698,83,3.85
699,82,3.85
700,82,3.86
701,83,3.86
702,84,3.85
703,85,3.85
704,85,3.84
705,85,3.84
706,83,3.84
707,82,3.89
708,80,3.91
709,79,3.96
710,79,4.08
711,81,4.14
712,83,4.13
713,85,4.07
714,86,4.07
715,88,4.11
716,88,4.07
717,88,4.03
718,88,4.0
719,86,4.0
720,85,4.0
721,83,4.0
722,83,4.06
723,84,4.05
724,85,4.05
725,86,4.13
726,88,4.13
727,88,4.07
728,87,4.03
729,85,4.06
730,84,4.22
731,84,4.34
732,85,4.28
733,86,4.18
734,86,4.12
735,87,4.14
736,87,4.27
737,86,4.26
738,85,4.21
739,84,4.2
740,84,4.17
741,86,4.14
742,87,4.13
743,88,4.15
744,88,4.13
745,88,4.12
746,86,4.21
747,85,4.29
748,83,4.3
749,82,4.31
750,82,4.36
751,82,4.57
752,82,4.55
753,83,4.48
754,83,4.5
755,83,4.71
756,83,4.82
757,85,4.82
758,87,4.68
759,89,4.55
760,91,4.51
761,92,4.52
762,91,4.67
763,90,4.72
764,88,4.67
765,87,4.61
766,86,4.58
767,86,4.57
768,87,4.54
769,86,4.5
770,85,4.52
771,84,4.7
772,83,4.73
773,82,4.65
774,81,4.58
775,82,4.61
776,83,4.68
777,83,4.62
778,83,4.57
779,82,4.53
780,80,4.49
781,79,4.48
782,79,4.48
783,79,4.47
784,80,4.44
785,81,4.43
786,82,4.41
787,82,4.4
788,83,4.39
789,82,4.37
790,82,4.43
791,82,4.53
792,82,4.54
793,83,4.49
794,84,4.42
795,84,4.37
796,85,4.34
797,85,4.36
798,85,4.38
799,86,4.36
800,86,4.32
801,86,4.29
802,86,4.29
803,86,4.43
804,87,4.73
805,88,4.7
806,88,4.59
807,86,4.48
808,85,4.42
809,83,4.4
810,82,4.38
811,81,4.42
812,80,4.47
813,79,4.47
814,78,4.43
815,77,4.46
816,77,4.46
817,78,4.43
818,79,4.43
819,80,4.41
820,81,4.39
821,81,4.38
822,81,4.36
823,79,4.34
824,78,4.34
825,76,4.43
826,75,4.44
827,76,4.41
828,78,4.41
829,79,4.41
830,80,4.43
831,81,4.41
832,81,4.38
833,81,4.34
834,81,4.33
835,80,4.37
836,79,4.4
837,79,4.38
838,81,4.4
839,82,4.45
840,83,4.44
841,82,4.39
842,81,4.35
843,80,4.34
844,80,4.36
845,83,4.36
846,84,4.39
847,85,4.5
848,85,4.47
849,85,4.41
850,85,4.51
851,85,4.68
852,86,4.81
853,88,4.8
854,89,4.69
855,90,4.76
856,91,4.86
857,91,4.86
858,92,4.88
859,92,5.0
860,92,4.97
861,92,4.95
862,93,5.04
863,94,5.11
864,95,5.02
865,95,4.87
866,95,4.84
867,94,4.93
868,93,5.05
869,91,5.05
870,90,5.0
871,89,4.95
872,88,4.93
873,89,4.9
874,89,4.85
875,90,4.85
876,90,5.01
877,91,4.99
878,91,4.89
879,91,4.88
880,91,4.96
881,91,5.04
882,91,5.22
883,91,5.24
884,91,5.16
885,91,5.26
886,91,5.38
887,90,5.27
888,91,5.11
889,93,4.98
890,94,4.91
891,96,4.89
892,96,4.86
893,97,4.82
894,96,4.79
895,96,4.81
896,95,4.98
897,93,5.1
898,92,5.06
899,90,5.07
900,88,5.19
901,87,5.25
902,87,5.3
903,88,5.29
904,89,5.22
905,91,5.08
906,92,4.99
907,93,5.01
908,93,5.02
909,93,4.99
910,93,5.06
911,93,5.16
912,93,5.17
913,93,5.11
914,93,5.01
915,92,4.94
916,92,5.04
917,91,5.18
918,90,5.25
919,90,5.3
920,91,5.21
921,93,5.22
922,94,5.13
923,96,5.03
924,98,5.19
925,98,5.3
926,98,5.29
927,98,5.17
928,97,5.08
929,96,5.11
930,95,5.27
931,94,5.22
932,92,5.11
933,91,5.08
934,90,5.08
935,89,5.03
936,88,5.27
937,87,5.35
938,86,5.31
939,85,5.38
940,84,5.47
941,83,5.41
942,83,5.37
943,85,5.41
944,87,5.37
945,89,5.27
946,92,5.24
947,93,5.31
948,93,5.39
949,93,5.46
950,92,5.52
951,93,5.55
952,94,5.43
953,96,5.29
954,98,5.27
955,100,5.33
956,102,5.26
957,103,5.26
958,102,5.26
959,102,5.21
960,101,5.2
961,99,5.27
962,98,5.37
963,95,5.32
964,95,5.4
965,95,5.38
966,96,5.32
967,97,5.29
968,98,5.23
969,99,5.23
970,99,5.39
971,100,5.32
972,100,5.26
973,101,5.22
974,102,5.17
975,102,5.14
976,103,5.16
977,103,5.15
978,102,5.15
979,102,5.18
980,101,5.29
981,100,5.45
982,99,5.45
983,98,5.34
984,96,5.28
985,95,5.31
986,93,5.35
987,92,5.3
988,91,5.28
989,90,5.29
990,90,5.37
991,90,5.37
992,89,5.26
993,89,5.19
994,88,5.17
995,88,5.17
996,88,5.16
997,88,5.21
998,87,5.28
999,85,5.25
1000,84,5.23
1001,82,5.2
1002,79,5.28
1003,79,5.25
1004,79,5.18
1005,79,5.17
1006,79,5.15
1007,80,5.22
1008,80,5.32
1009,80,5.42
1010,80,5.39
1011,80,5.28
1012,81,5.28
1013,82,5.3
1014,83,5.25
1015,84,5.2
1016,84,5.19
1017,83,5.2
1018,83,5.19
1019,83,5.16
1020,82,5.16
1021,81,5.2
1022,80,5.19
1023,80,5.18
1024,81,5.19
1025,81,5.19
1026,82,5.15
1027,82,5.15
1028,81,5.19
1029,81,5.17
1030,81,5.16
1031,81,5.16
1032,81,5.16
1033,81,5.14
1034,81,5.15
1035,80,5.19
1036,81,5.28
1037,82,5.24
1038,83,5.19
1039,83,5.15
1040,83,5.12
1041,81,5.1
1042,79,5.11
1043,79,5.15
1044,79,5.14
1045,80,5.14
1046,80,5.12
1047,80,5.11
1048,80,5.1
1049,79,5.13
1050,79,5.11
1051,79,5.09
1052,80,5.07
1053,79,5.09
1054,79,5.31
1055,78,5.48
1056,77,5.56
1057,76,5.6
1058,76,5.63
1059,76,5.55
1060,77,5.52
1061,78,5.78
1062,79,5.88
1063,79,5.89
1064,79,5.68
1065,78,5.5
1066,77,5.41
1067,76,5.42
1068,75,5.42
1069,75,5.37
1070,74,5.34
1071,74,5.38
1072,73,5.44
1073,72,5.39
1074,71,5.36
1075,70,5.33
1076,69,5.27
1077,70,5.25
1078,72,5.26
1079,74,5.26
1080,76,5.21
1081,81,5.21
1082,83,5.21
1083,85,5.22
1084,87,5.2
1085,89,5.2
1086,91,5.39
1087,93,5.56
1088,95,5.51
1089,96,5.4
1090,96,5.34
1091,96,5.35
1092,95,5.48
1093,94,5.48
1094,93,5.42
1095,92,5.39
1096,91,5.38
1097,89,5.34
1098,88,5.44
1099,87,5.44
1100,86,5.37
1101,84,5.32
1102,83,5.29
1103,81,5.27
1104,80,5.26
1105,78,5.24
1106,77,5.23
1107,76,5.21
1108,75,5.19
1109,75,5.19
1110,73,5.2
1111,72,5.21
1112,70,5.22
1113,69,5.21
1114,69,5.18
1115,68,5.17
1116,67,5.15
1117,66,5.13
1118,65,5.12
1119,64,5.11
1120,64,5.3
1121,65,5.37
1122,68,5.29
1123,70,5.21
1124,73,5.22
1125,74,5.17
1126,75,5.15
1127,76,5.15
1128,76,5.14
1129,75,5.14
1130,75,5.18
