time,HeartRate,SkinResponse
0,101,3.75
1,103,3.75
2,105,3.72
3,106,3.71
4,106,3.71
5,105,3.71
6,104,3.69
7,105,3.66
8,106,3.64
9,106,3.6
10,107,3.56
11,107,3.54
12,107,3.52
13,106,3.51
14,106,3.51
15,105,3.54
16,104,3.59
17,103,3.61
18,102,3.61
19,101,3.61
20,100,3.6
21,99,3.59
22,98,3.58
23,98,3.58
24,97,3.57
25,98,3.56
26,99,3.55
27,100,3.56
28,102,3.58
29,103,3.59
30,104,3.61
31,104,3.66
32,104,3.72
33,104,3.77
34,104,3.77
35,104,3.75
36,103,3.75
37,103,3.74
38,103,3.73
39,103,3.71
40,104,3.69
41,105,3.67
42,105,3.69
43,106,3.72
44,105,3.74
45,105,3.81
46,104,3.85
47,103,3.89
48,103,3.92
49,102,3.93
50,102,3.9
51,102,3.87
52,103,3.84
53,103,3.87
54,103,3.89
55,103,3.9
56,102,3.87
57,102,3.84
58,101,3.82
59,100,3.82
60,99,3.86
61,98,3.86
62,97,3.85
63,96,3.83
64,98,3.83
65,99,3.83
66,100,3.81
67,101,3.78
68,103,3.76
69,105,3.73
70,107,3.71
71,109,3.69
72,110,3.7
73,111,3.72
74,110,3.72
75,110,3.72
76,109,3.73
77,109,3.8
78,109,3.85
79,109,3.87
80,109,3.87
81,108,3.87
82,108,3.85
83,107,3.83
84,107,3.81
85,106,3.84
86,105,3.84
87,104,3.83
88,104,3.81
89,105,3.79
90,105,3.76
91,105,3.74
92,105,3.72
93,103,3.71
94,102,3.71
95,101,3.71
96,100,3.71
97,99,3.71
98,98,3.7
99,98,3.69
100,99,3.7
101,100,3.7
102,100,3.7
103,100,3.7
104,100,3.71
105,98,3.72
106,97,3.71
107,96,3.71
108,94,3.7
109,94,3.69
110,94,3.69
111,95,3.69
112,96,3.7
113,97,3.7
114,97,3.73
115,98,3.75
116,99,3.76
117,101,3.75
118,102,3.74
119,104,3.74
120,106,3.73
121,109,3.71
122,110,3.71
123,111,3.7
124,110,3.69
125,109,3.68
126,108,3.68
127,106,3.67
128,105,3.67
129,103,3.68
130,102,3.68
131,101,3.68
132,100,3.68
133,99,3.72
134,98,3.81
135,97,3.89
136,96,3.97
137,96,4.0
138,95,3.98
139,95,3.95
140,94,3.93
141,93,3.89
142,91,3.86
143,91,3.83
144,91,3.82
145,92,3.81
146,92,3.87
147,92,3.97
148,92,4.02
149,91,4.01
150,91,3.99
151,90,3.97
152,89,3.96
153,89,3.93
154,89,3.91
155,90,3.87
156,90,3.85
157,91,3.82
158,93,3.8
159,94,3.79
160,96,3.77
161,97,3.75
162,97,3.75
163,97,3.77
164,95,3.77
165,94,3.76
166,92,3.75
167,91,3.74
168,90,3.73
169,89,3.71
170,88,3.7
171,88,3.7
172,88,3.71
173,89,3.73
174,91,3.74
175,91,3.75
176,92,3.76
177,92,3.76
178,91,3.75
179,91,3.74
180,89,3.73
181,88,3.73
182,85,3.72
183,84,3.72
184,83,3.72
185,82,3.71
186,81,3.71
187,80,3.71
188,78,3.74
189,77,3.75
190,76,3.75
191,76,3.75
192,75,3.74
193,74,3.73
194,73,3.72
195,71,3.71
196,70,3.71
197,69,3.7
198,68,3.69
199,69,3.69
200,71,3.68
201,73,3.68
202,73,3.67
203,73,3.66
204,73,3.66
205,74,3.68
206,75,3.7
207,77,3.7
