time,HeartRate,SkinResponse
0,62,0.9
1,61,0.89
2,61,0.89
3,61,0.89
4,62,0.89
5,63,0.89
6,65,0.89
7,65,0.9
8,65,0.91
9,64,0.92
10,63,0.93
11,61,0.93
12,60,0.92
13,60,0.92
14,60,0.93
15,60,0.93
16,60,0.93
17,61,0.93
18,61,0.94
19,62,0.88
20,61,1.05
21,61,0.96
22,63,0.99
23,65,1.03
24,67,1.03
25,69,1.03
26,70,1.03
27,72,1.02
28,73,1.05
29,74,1.1
30,75,1.13
31,76,1.13
32,77,1.13
33,78,1.13
34,77,1.13
35,76,1.12
36,75,1.12
37,75,1.13
38,76,1.19
39,78,1.23
40,79,1.24
41,80,1.24
42,80,1.24
43,79,1.25
44,78,1.24
45,76,1.23
46,74,1.23
47,73,1.23
48,73,1.24
49,73,1.25
50,73,1.33
51,73,1.38
52,72,1.37
53,72,1.35
54,71,1.32
55,71,1.3
56,71,1.33
57,71,1.4
58,70,1.5
59,70,1.56
60,70,1.61
61,72,1.68
62,73,1.74
63,73,1.75
64,73,1.75
65,73,1.71
66,73,1.68
67,73,1.67
68,73,1.66
69,74,1.66
70,73,1.66
71,73,1.66
72,71,1.66
73,70,1.68
74,68,1.7
75,67,1.72
76,67,1.75
77,66,1.74
78,66,1.74
79,65,1.73
80,65,1.71
81,65,1.7
82,64,1.68
83,64,1.67
84,64,1.66
85,64,1.66
86,64,1.66
87,64,1.65
88,64,1.63
89,65,1.63
90,65,1.62
91,65,1.62
92,63,1.61
93,62,1.58
94,62,1.57
95,62,1.55
96,63,1.6
97,64,1.7
98,64,1.74
99,64,1.73
100,62,1.71
101,61,1.67
102,60,1.63
103,59,1.61
104,59,1.61
105,58,1.61
106,58,1.61
107,58,1.6
108,59,1.59
109,59,1.6
110,60,1.6
111,60,1.58
112,61,1.56
113,60,1.58
114,60,1.58
115,59,1.57
116,59,1.56
117,58,1.56
118,59,1.59
119,60,1.59
120,62,1.58
121,64,1.57
122,65,1.58
123,67,1.57
124,68,1.55
125,68,1.54
126,67,1.52
127,66,1.52
128,65,1.52
129,65,1.51
130,65,1.51
131,66,1.52
132,67,1.54
133,68,1.54
134,68,1.53
135,69,1.51
136,68,1.5
137,67,1.49
138,65,1.49
139,64,1.48
140,64,1.48
141,65,1.47
142,67,1.46
143,68,1.47
144,69,1.52
145,70,1.61
146,71,1.64
147,70,1.63
148,69,1.61
149,68,1.6
150,67,1.58
151,66,1.55
152,66,1.54
153,66,1.52
154,67,1.51
155,66,1.5
156,66,1.49
157,66,1.5
158,65,1.5
159,65,1.55
160,65,1.63
161,65,1.65
162,65,1.64
163,65,1.63
164,65,1.63
165,65,1.61
166,64,1.59
167,64,1.57
168,65,1.55
169,66,1.54
170,66,1.53
171,65,1.52
172,64,1.51
173,62,1.5
174,61,1.49
175,60,1.49
176,60,1.48
177,60,1.48
178,61,1.48
179,62,1.48
180,63,1.49
181,63,1.49
182,63,1.5
