time,HeartRate,SkinResponse
0,81,6.68
1,81,6.62
2,82,6.55
3,84,6.48
4,85,6.45
5,87,6.44
6,87,6.41
7,87,6.42
8,87,6.5
9,86,6.6
10,85,6.67
11,85,6.73
12,87,6.71
13,89,6.72
14,90,6.77
15,92,6.77
16,92,6.72
17,92,6.65
18,92,6.6
19,90,6.72
20,89,6.81
21,87,6.79
22,85,6.75
23,84,6.71
24,84,6.66
25,84,6.66
26,84,6.72
27,84,6.71
28,84,6.7
29,84,6.69
30,84,6.67
31,84,6.7
32,84,6.7
33,84,6.66
34,85,6.63
35,84,6.64
36,84,6.61
37,83,6.62
38,83,6.63
39,83,6.62
40,84,6.6
41,85,6.58
42,85,6.63
43,85,6.64
44,83,6.63
45,82,6.62
46,82,6.67
47,83,6.75
48,84,6.78
49,85,6.76
50,85,6.73
51,85,6.68
52,85,6.63
53,84,6.58
54,84,6.53
55,85,6.49
56,86,6.45
57,88,6.42
58,90,6.38
59,91,6.36
60,91,6.38
61,90,6.5
62,89,6.57
63,88,6.56
64,86,6.52
65,85,6.51
66,86,6.59
67,87,6.6
68,87,6.72
69,87,6.78
70,85,6.74
71,84,6.71
72,82,6.67
73,81,6.61
74,80,6.71
75,80,6.87
76,80,6.86
77,80,6.82
78,79,6.83
79,78,6.79
80,77,6.81
81,77,6.89
82,78,6.86
83,79,6.81
84,79,6.74
85,80,6.67
86,80,6.63
87,82,6.65
88,84,6.65
89,85,6.71
90,87,6.82
91,87,6.81
92,87,6.77
93,87,6.7
94,86,6.64
95,86,6.61
96,87,6.58
97,88,6.54
98,90,6.51
99,91,6.47
100,91,6.47
101,91,6.6
102,90,6.66
103,89,6.69
104,87,6.9
105,85,7.02
106,83,7.01
107,81,6.96
108,80,6.89
109,80,6.84
110,82,6.86
111,83,6.88
112,84,6.9
113,84,6.93
114,83,6.89
115,83,6.84
116,84,6.79
117,85,6.74
118,87,6.77
119,89,6.76
120,92,6.75
121,93,6.78
122,93,6.81
123,92,6.87
124,91,6.91
125,89,6.89
126,88,6.86
127,87,6.88
128,87,6.94
129,87,6.95
130,87,7.01
131,88,7.03
132,89,7.08
133,90,7.1
134,92,7.12
135,92,7.08
136,92,7.0
137,92,6.95
138,91,7.02
139,91,7.02
140,91,6.98
141,92,6.93
142,92,6.9
143,93,6.87
144,92,6.92
145,91,7.07
146,90,7.09
147,88,7.05
148,87,6.98
149,87,7.04
150,88,7.24
151,89,7.26
152,90,7.18
153,90,7.11
154,90,7.03
155,91,7.06
156,91,7.18
157,90,7.25
158,90,7.29
159,89,7.28
160,88,7.25
161,87,7.37
162,86,7.47
163,85,7.5
164,84,7.5
165,83,7.46
166,83,7.5
167,83,7.57
168,83,7.54
169,84,7.49
170,85,7.44
171,87,7.37
172,88,7.32
173,90,7.28
174,90,7.25
175,90,7.21
176,90,7.19
177,89,7.18
178,87,7.21
179,86,7.24
180,84,7.22
181,84,7.18
182,84,7.15
183,84,7.15
184,85,7.17
185,84,7.16
186,84,7.12
187,83,7.12
188,83,7.17
189,82,7.15
190,84,7.12
191,85,7.08
192,87,7.03
193,87,7.05
194,88,7.11
195,87,7.16
196,87,7.21
197,86,7.21
198,84,7.21
199,83,7.28
200,81,7.36
201,80,7.49
202,80,7.51
203,81,7.5
204,82,7.47
205,83,7.45
206,85,7.4
207,88,7.33
208,91,7.26
209,93,7.2
210,96,7.27
211,99,7.41
212,103,7.45
213,105,7.47
214,107,7.56
215,108,7.56
216,109,7.51
217,108,7.44
218,107,7.35
219,106,7.27
220,105,7.21
221,105,7.16
222,105,7.18
223,106,7.33
224,108,7.38
225,109,7.34
226,110,7.3
227,109,7.25
228,109,7.2
229,106,7.15
230,104,7.11
231,103,7.08
232,101,7.07
233,99,7.17
234,97,7.24
235,95,7.36
236,93,7.46
237,91,7.55
238,89,7.6
239,87,7.64
240,86,7.66
241,84,7.77
242,82,7.83
243,80,7.9
244,80,7.94
245,80,7.99
246,81,8.07
247,83,8.15
248,84,8.15
249,86,8.15
250,86,8.17
251,87,8.12
252,89,8.04
253,91,8.02
254,93,7.99
255,95,7.94
256,97,7.93
257,99,7.95
258,102,7.96
259,104,7.94
260,106,7.91
261,108,7.85
262,108,7.79
263,108,7.78
264,107,7.77
265,107,7.73
266,106,7.72
267,105,7.78
268,104,7.79
269,103,7.75
270,102,7.83
271,101,7.91
272,99,7.93
273,98,7.9
274,96,7.82
275,94,7.75
276,92,7.67
277,91,7.62
278,90,7.58
279,89,7.56
280,89,7.56
281,89,7.55
282,88,7.58
283,87,7.6
284,86,7.6
285,84,7.65
286,83,7.65
287,82,7.62
288,81,7.59
289,80,7.6
290,79,7.64
291,80,7.76
292,82,7.81
293,84,7.79
294,86,7.76
295,88,7.71
296,89,7.74
297,90,7.9
298,90,7.92
299,90,7.88
300,89,7.82
301,89,7.75
302,88,7.68
303,88,7.67
304,87,7.84
305,87,7.9
306,86,7.9
307,85,7.94
308,83,8.11
309,79,8.14
310,77,8.18
311,76,8.23
312,75,8.26
313,75,8.34
314,75,8.41
315,75,8.48
316,75,8.55
317,76,8.58
318,76,8.6
319,76,8.76
320,77,8.93
321,78,9.01
322,79,9.06
323,79,9.07
324,80,9.09
325,82,9.15
326,83,9.19
327,85,9.24
328,85,9.29
329,86,9.24
330,85,9.14
331,85,9.06
332,84,8.97
333,84,8.89
334,84,8.88
335,85,8.85
336,87,8.81
337,89,8.75
338,91,8.78
339,92,9.01
340,94,9.23
341,94,9.33
342,95,9.31
343,94,9.25
344,94,9.23
345,93,9.27
346,92,9.26
347,91,9.28
348,90,9.3
349,87,9.25
350,86,9.18
351,85,9.11
352,85,9.01
353,86,8.97
354,88,9.08
355,90,9.13
356,92,9.1
357,95,9.03
358,98,8.99
359,101,8.95
360,104,8.91
361,106,8.85
362,106,8.8
363,106,8.87
364,105,8.97
365,104,8.98
366,103,8.92
367,102,8.93
368,102,8.97
369,101,9.02
370,100,9.07
371,99,9.08
372,97,9.09
373,96,9.09
374,94,9.03
375,92,8.95
376,92,8.86
377,92,8.77
378,92,8.7
379,92,8.72
380,92,8.81
381,91,8.86
382,90,8.98
383,91,9.11
384,91,9.15
385,91,9.14
386,90,9.12
387,89,9.15
388,86,9.17
389,84,9.18
390,84,9.2
391,84,9.19
392,85,9.16
393,86,9.21
394,87,9.23
395,89,9.2
396,91,9.21
397,93,9.23
398,96,9.18
399,98,9.09
400,100,8.99
401,100,8.89
402,100,8.81
403,99,8.75
404,99,8.7
405,99,8.67
406,101,8.67
407,103,8.69
408,104,8.67
409,105,8.65
410,104,8.62
411,104,8.59
412,102,8.56
413,101,8.54
414,99,8.52
415,98,8.5
416,97,8.48
417,96,8.46
418,96,8.44
419,95,8.42
420,95,8.4
421,94,8.38
422,93,8.36
423,91,8.37
424,89,8.36
425,87,8.35
426,84,8.34
427,82,8.35
428,77,8.45
429,75,8.52
430,73,8.53
431,71,8.5
432,70,8.45
433,69,8.41
434,69,8.37
435,69,8.33
436,68,8.38
437,68,8.56
438,67,8.69
439,67,8.73
440,66,8.72
441,66,8.69
442,66,8.66
443,67,8.58
444,68,8.51
445,69,8.43
446,69,8.36
447,70,8.35
448,72,8.53
449,74,8.62
450,75,8.63
451,76,8.6
452,76,8.52
453,75,8.44
454,74,8.37
455,72,8.43
456,70,8.72
457,70,8.81
458,71,8.81
459,72,8.77
460,74,8.71
461,75,8.64
462,77,8.61
463,77,8.64
464,77,8.65
465,76,8.62
466,76,8.57
467,77,8.51
468,77,8.47
469,77,8.49
470,76,8.51
471,75,8.58
472,74,8.63
473,73,8.61
474,73,8.56
475,75,8.51
476,76,8.44
477,78,8.39
478,80,8.35
479,81,8.32
480,82,8.29
481,83,8.27
482,82,8.25
483,82,8.23
484,80,8.23
485,79,8.22
486,79,8.21
487,79,8.2
488,79,8.19
489,80,8.17
490,79,8.15
491,78,8.14
492,78,8.17
493,78,8.21
494,78,8.22
495,79,8.21
496,80,8.21
497,81,8.26
498,82,8.27
499,82,8.25
500,82,8.23
501,81,8.23
502,80,8.25
503,80,8.25
504,79,8.23
505,78,8.21
506,77,8.19
507,77,8.19
508,77,8.25
509,78,8.27
510,80,8.26
511,82,8.24
512,83,8.23
513,83,8.2
514,83,8.19
515,82,8.34
516,80,8.45
517,79,8.46
518,77,8.44
519,76,8.4
520,76,8.39
521,77,8.44
522,78,8.44
523,78,8.4
524,79,8.34
525,80,8.28
526,81,8.23
527,82,8.18
528,83,8.14
529,83,8.16
530,83,8.2
531,84,8.22
532,83,8.22
533,82,8.2
534,81,8.21
535,80,8.21
536,79,8.19
537,78,8.19
538,78,8.23
539,79,8.28
540,81,8.26
541,83,8.23
542,83,8.21
543,83,8.26
544,83,8.32
545,83,8.32
546,85,8.31
547,87,8.29
548,87,8.3
549,87,8.46
550,85,8.57
551,84,8.62
552,82,8.66
553,81,8.67
